praatword,parsedword,lstm256Surprisal,k_10distance,k_10surprisal,k_10entropy,k_10Hdelta,k_20distance,k_20surprisal,k_20entropy,k_20Hdelta,k_40distance,k_40surprisal,k_40entropy,k_40Hdelta,k_60distance,k_60surprisal,k_60entropy,k_60Hdelta,k_80distance,k_80surprisal,k_80entropy,k_80Hdelta,k_100distance,k_100surprisal,k_100entropy,k_100Hdelta
alice,alice,3.1359038353,9,3.259502,0.944836,0.944836,9,3.253403,0.969026,0.969026,9,3.250418,0.984433,0.984433,9,3.249266,0.988766,0.988766,9,3.248716,0.990605,0.990605,9,3.248418,0.992231,0.992231
was,was,2.2846198082,10,1.921215,1.205601,0.260765,10,1.923032,1.234683,0.265657,11,1.924298,1.245457,0.261024,11,1.924782,1.252045,0.263279,11,1.924955,1.2558,0.265195,12,1.92506,1.256781,0.26455
beginning,beginning,5.41496133804,11,5.063349,1.362968,0.157367,11,5.054479,1.429633,0.19495,11,5.044625,1.502444,0.256987,11,5.040813,1.534485,0.28244,12,5.03984,1.544926,0.289126,12,5.038918,1.554206,0.297425
to,to,0.547499656677,12,1.854372,1.799703,0.436735,12,1.824218,1.8816,0.451967,12,1.819876,1.961155,0.458711,12,1.817503,1.994271,0.459786,12,1.81584,2.008259,0.463333,12,1.815138,2.017676,0.46347
get,get,4.82957744598,14,3.821372,1.233822,-0.565881,14,3.844145,1.334984,-0.546616,14,3.844909,1.430984,-0.530171,15,3.846193,1.469981,-0.52429,15,3.846785,1.489066,-0.519193,15,3.847278,1.500184,-0.517492
very,very,4.81132411957,14,5.894235,2.145377,0.911555,14,5.83279,2.334774,0.99979,14,5.807178,2.457446,1.02646,15,5.796119,2.52384,1.05386,15,5.788856,2.554586,1.06552,15,5.783717,2.576044,1.07586
tired,tired,6.57838821411,16,3.508777,0.990545,-1.15483,17,3.524704,1.278363,-1.05641,17,3.556535,1.331898,-1.12555,17,3.562242,1.403798,-1.12004,17,3.565941,1.44614,-1.10845,18,3.568556,1.474873,-1.10117
of,of,0.279072761536,16,2.435853,1.149769,0.159224,16,2.436206,1.457725,0.179362,17,2.431024,1.515276,0.183378,17,2.430791,1.590971,0.187173,17,2.430845,1.633233,0.187093,17,2.430481,1.664782,0.189909
sitting,sitting,8.89672660828,17,8.327638,1.419943,0.270174,17,8.315894,1.753842,0.296117,18,8.294534,1.924022,0.408746,18,8.298195,1.961677,0.370706,18,8.2961,2.012755,0.379522,18,8.291387,2.072344,0.407562
by,by,5.45327186584,19,4.034883,1.314708,-0.105235,19,4.040627,1.627531,-0.126311,19,4.048887,1.767692,-0.15633,20,4.048808,1.814998,-0.146679,20,4.049008,1.866636,-0.146119,20,4.049329,1.924726,-0.147618
her,her,2.75921297073,18,1.996469,1.834435,0.519727,18,1.994263,2.131298,0.503767,18,1.982531,2.267991,0.500299,18,1.978286,2.310336,0.495338,18,1.978029,2.358116,0.49148,18,1.979014,2.413657,0.488931
sister,sister,4.0009355545,21,6.369336,1.811518,-0.022917,21,6.362927,2.101192,-0.030106,21,6.335697,2.376358,0.108367,22,6.330334,2.469614,0.159278,22,6.330176,2.520692,0.162576,22,6.330803,2.565268,0.151611
on,on,7.25322198868,21,5.779985,1.786368,-0.02515,21,5.73118,2.154476,0.053284,21,5.703425,2.501521,0.125163,22,5.681832,2.672879,0.203265,22,5.662138,2.801053,0.280361,22,5.653541,2.869179,0.303911
the,the,1.58189105988,8,1.588077,2.299131,0.512763,8,1.563673,2.647351,0.492875,9,1.540919,2.94506,0.443539,9,1.540617,3.083981,0.411102,9,1.545078,3.187884,0.386831,9,1.544169,3.266015,0.396836
bank,bank,6.13536262512,23,6.270488,1.740911,-0.55822,23,6.280082,2.175717,-0.471634,23,6.299029,2.530244,-0.414816,23,6.298488,2.702675,-0.381306,24,6.298662,2.812483,-0.375401,24,6.300405,2.886683,-0.379332
and,and,2.43613100052,18,2.423355,1.854244,0.113333,18,2.038613,2.477361,0.301644,17,1.890601,2.924919,0.394675,17,1.859621,3.126557,0.423882,17,1.838916,3.265887,0.453404,17,1.829314,3.352258,0.465575
of,of,6.90313148499,21,4.967661,1.52569,-0.328554,23,5.285484,2.112392,-0.364969,23,5.238156,2.492592,-0.432327,23,5.113306,2.821395,-0.305162,23,5.081828,3.036414,-0.229473,23,5.070548,3.154569,-0.197689
having,having,7.33879470825,22,5.737699,1.283483,-0.242207,22,5.759541,1.855585,-0.256807,23,5.813568,2.253341,-0.239251,23,5.854602,2.572293,-0.249102,23,5.874347,2.762503,-0.273911,23,5.87456,2.891482,-0.263087
nothing,nothing,7.91164207458,24,6.737522,1.582289,0.298806,24,6.787633,1.962942,0.107357,24,6.867876,2.386148,0.132807,24,6.948951,2.617736,0.045443,25,6.978445,2.723662,-0.038841,25,6.982354,2.861139,-0.030343
to,to,4.42261314392,13,4.62988,2.057321,0.475032,13,4.647119,2.448386,0.485444,17,4.66315,2.916352,0.530204,20,4.587287,3.290161,0.672425,20,4.578202,3.438096,0.714434,19,4.546059,3.60318,0.742041
do,do,3.6000957489,16,3.633102,1.164645,-0.892676,16,3.661448,1.524771,-0.923615,22,3.678829,2.01735,-0.899002,23,3.670759,2.368527,-0.921634,26,3.675124,2.512043,-0.926053,26,3.670827,2.669237,-0.933943
once,once,6.81571245193,17,8.765239,1.23829,0.073645,17,8.518069,1.860181,0.33541,23,8.478535,2.354813,0.337463,24,8.470504,2.755616,0.387089,27,8.43163,2.967789,0.455746,27,8.415446,3.171529,0.502292
or,or,5.58709287643,16,4.123273,0.729557,-0.508733,17,4.178978,1.213273,-0.646908,17,4.232159,1.629788,-0.725025,18,4.215672,2.060046,-0.69557,18,4.212962,2.282925,-0.684864,18,4.207175,2.509414,-0.662115
twice,twice,7.25951576233,16,4.402669,0.590425,-0.139132,18,4.395973,1.054295,-0.158978,18,4.429257,1.339833,-0.289955,18,4.422917,1.79296,-0.267086,18,4.426508,1.992755,-0.29017,18,4.424137,2.230013,-0.279401
she,she,4.47498559952,13,2.031927,0.986011,0.395586,13,2.009516,1.468391,0.414096,13,2.012141,1.7285,0.388667,13,2.028202,2.128602,0.335642,14,2.052972,2.252713,0.259958,14,2.078003,2.429906,0.199893
had,had,1.87051010132,10,2.776745,1.240879,0.254868,10,2.768677,1.761685,0.293294,10,2.765728,2.035254,0.306754,17,2.764959,2.435286,0.306684,18,2.762886,2.567225,0.314512,18,2.762678,2.737856,0.30795
peeped,peeped,7.90948820114,18,7.798816,0.144834,-1.09605,18,7.783291,0.744656,-1.01703,19,7.744801,1.101877,-0.933377,20,7.7231,1.564668,-0.870618,19,7.68925,1.805212,-0.762013,20,7.668328,2.030773,-0.707083
into,into,3.99118638039,12,3.918996,0.162287,0.017453,12,3.919206,0.759596,0.01494,12,3.903053,1.143898,0.042021,12,3.90585,1.597848,0.03318,13,3.906759,1.831909,0.026697,13,3.901976,2.064978,0.034205
the,the,1.29565286636,6,1.325668,0.933626,0.771339,6,1.325637,1.534148,0.774552,6,1.325223,1.918127,0.774229,6,1.325346,2.372852,0.775004,6,1.324966,2.608001,0.776092,7,1.324798,2.841905,0.776927
book,book,6.89968585968,14,5.602251,0.873715,-0.059911,14,5.60228,1.472862,-0.061286,14,5.60363,1.854134,-0.063993,14,5.603356,2.308876,-0.063976,15,5.603027,2.545259,-0.062742,15,5.603294,2.778007,-0.063898
her,her,7.5532245636,14,6.623057,1.918838,1.04512,14,6.625029,2.495435,1.02257,14,6.601629,2.961683,1.10755,14,6.614952,3.362753,1.05388,14,6.614332,3.612139,1.06688,15,6.588062,3.871842,1.09383
sister,sister,4.99524879456,15,5.628022,1.970955,0.052117,15,5.613342,2.6004,0.104965,15,5.617227,3.035244,0.073561,15,5.625054,3.41724,0.054487,16,5.617203,3.661463,0.049324,16,5.589181,3.892856,0.021014
was,was,3.67864370346,15,4.036998,1.590533,-0.380422,15,4.078096,2.1257,-0.4747,15,3.956586,2.776388,-0.258856,15,4.011744,3.010473,-0.406767,16,4.043797,3.16172,-0.499743,16,3.766179,3.322107,-0.570749
reading,reading,6.25779008865,17,6.626618,1.291633,-0.2989,17,6.66464,1.722654,-0.403046,18,6.733991,2.205867,-0.570521,18,6.672612,2.588898,-0.421575,18,6.660265,2.777415,-0.384305,18,6.753873,2.955767,-0.36634
but,but,5.98449707031,18,5.230069,2.207327,0.915694,18,5.270108,2.757062,1.03441,18,4.575447,2.823279,0.617412,18,4.684189,3.115573,0.526675,18,4.698853,3.276856,0.499441,19,4.501689,3.567519,0.611752
it,it,2.52386045456,9,2.900915,2.087307,-0.12002,14,2.924974,2.547935,-0.209127,14,2.788516,2.623298,-0.199981,14,2.806962,2.831174,-0.284399,14,2.812051,2.994311,-0.282545,14,2.852542,3.366484,-0.201035
had,had,3.35017681122,20,3.120392,2.059957,-0.02735,20,3.120372,2.528518,-0.019417,20,3.016061,2.731786,0.108488,20,3.018722,2.89604,0.064866,20,3.020386,3.059161,0.06485,20,3.067358,3.497592,0.131108
no,no,4.13749694824,10,4.467567,2.721547,0.66159,10,4.418501,3.21301,0.684492,15,4.354386,3.49771,0.765924,15,4.333228,3.693834,0.797794,15,4.325304,3.85583,0.796669,14,4.273011,4.269943,0.772351
pictures,UNK,1.78801012039,7,2.025036,2.286476,-0.435071,7,2.027963,2.870827,-0.342183,8,2.030995,3.261798,-0.235912,7,2.032436,3.503955,-0.189879,7,2.03166,3.690288,-0.165542,7,2.049651,4.081381,-0.188562
or,or,3.87114286423,12,5.863545,2.396812,0.110336,16,5.854699,2.916878,0.046051,20,5.736528,3.473267,0.211469,20,5.702374,3.745592,0.241637,20,5.688526,3.935061,0.244773,20,5.733532,4.319775,0.238394
conversations,UNK,2.2807507515,6,2.270352,2.16528,-0.231532,6,2.279834,2.745681,-0.171197,6,2.3446,3.268989,-0.204278,6,2.363182,3.555671,-0.189921,6,2.362234,3.769874,-0.165187,6,2.354646,4.102539,-0.217236
in,in,3.42073488235,13,3.22227,1.905307,-0.259973,16,3.228412,2.470534,-0.275147,20,3.240267,2.94461,-0.324379,20,3.258831,3.173542,-0.382129,20,3.263351,3.384679,-0.385195,20,3.26753,3.730987,-0.371552
it,it,3.64133119583,11,3.618662,1.911171,0.005864,12,3.624124,2.472416,0.001882,14,3.636461,2.943022,-0.001588,14,3.635664,3.152894,-0.020648,14,3.632407,3.369385,-0.015294,13,3.645018,3.724509,-0.006478
and,and,2.18881416321,14,3.163556,2.343548,0.432377,17,2.941787,2.68558,0.213164,19,2.482175,3.369629,0.426607,19,2.478322,3.577593,0.424699,19,2.388259,3.804471,0.435086,19,2.608219,4.180899,0.45639
what,what,5.58542442322,9,6.178304,2.463963,0.120415,11,6.130523,3.128758,0.443178,19,6.102611,3.755617,0.385988,18,6.044793,4.055514,0.477921,18,6.098001,4.356497,0.552026,17,6.044146,4.623146,0.442247
is,is,4.28377342224,10,4.023224,2.161618,-0.302345,13,4.058588,2.641962,-0.486796,10,4.049233,3.287038,-0.468579,20,4.075779,3.540903,-0.514611,20,4.078568,3.794045,-0.562452,20,4.075471,4.110831,-0.512315
the,the,2.15736484528,7,3.250752,3.507559,1.34594,7,3.113682,4.004095,1.36213,7,3.12634,4.612505,1.32547,7,3.060489,4.878936,1.33803,7,3.045966,5.120647,1.3266,7,3.09045,5.434615,1.32378
use,use,5.10589790344,16,5.732558,1.76101,-1.74655,16,5.605277,2.483596,-1.5205,23,5.611495,3.088001,-1.5245,23,5.604746,3.438251,-1.44069,23,5.627313,3.652098,-1.46855,23,5.577193,3.990016,-1.4446
of,of,0.7479596138,16,1.085432,1.484943,-0.276067,16,1.088126,2.234932,-0.248664,23,1.087123,2.84072,-0.247281,23,1.088531,3.189768,-0.248483,23,1.090726,3.392577,-0.259521,23,1.088629,3.745863,-0.244153
a,a,3.1167883873,10,2.999004,2.18074,0.695797,11,3.00074,2.928626,0.693694,13,3.002778,3.532323,0.691603,14,2.999883,3.883155,0.693387,14,2.99626,4.087276,0.694699,13,2.999848,4.438335,0.692472
book,book,6.72246980667,18,5.934413,2.094801,-0.085939,18,5.910818,2.831318,-0.097308,25,5.909451,3.419221,-0.113102,25,5.908278,3.780938,-0.102217,25,5.911272,3.995816,-0.09146,25,5.905194,4.338858,-0.099477
thought,thought,4.99907016754,18,7.594978,2.175679,0.080878,18,7.681084,2.835923,0.004605,25,7.746785,3.492887,0.073666,25,7.759594,3.81789,0.036952,25,7.736929,4.066802,0.070986,25,7.793356,4.370098,0.03124
alice,alice,2.14376163483,8,1.925865,2.558798,0.383119,8,1.975588,3.080989,0.245066,12,1.939176,3.854231,0.361344,13,1.939511,4.14488,0.32699,13,1.963759,4.312235,0.245433,13,1.928766,4.617125,0.247027
without,without,9.29941272736,18,6.194263,1.2038,-1.355,18,6.212315,1.740592,-1.3404,20,6.129087,2.76083,-1.0934,20,6.116452,3.102773,-1.04211,22,6.127314,3.284615,-1.02762,20,6.120402,3.545308,-1.07182
pictures,UNK,2.95980834961,5,2.628508,2.711761,1.50796,5,2.598505,3.260782,1.52019,5,2.7003,4.166423,1.40559,6,2.683492,4.513611,1.41084,5,2.657469,4.702038,1.41742,5,2.660909,4.976287,1.43098
or,or,4.86924362183,15,6.524456,2.866131,0.15437,15,6.380654,3.474286,0.213504,22,6.41322,4.210236,0.043813,22,6.379772,4.527919,0.014308,22,6.337633,4.782119,0.080081,22,6.386273,5.031857,0.05557
conversations,UNK,2.18834877014,8,1.941069,1.943402,-0.922729,7,1.960649,2.594165,-0.880121,9,1.99361,3.277428,-0.932808,8,2.019247,3.638419,-0.8895,8,2.017173,3.916426,-0.865693,8,1.979537,4.175713,-0.856144
so,so,3.75198578835,9,4.102863,0.570865,-1.37254,9,4.087805,0.617404,-1.97676,9,4.080942,0.645007,-2.63242,9,4.079181,0.659194,-2.97923,9,4.07817,0.664583,-3.25184,9,4.077575,0.667272,-3.50844
she,she,1.13724517822,10,1.848274,0.63208,0.061215,10,1.855062,0.678244,0.06084,10,1.858357,0.703023,0.058016,10,1.858615,0.712524,0.05333,10,1.858884,0.717135,0.052552,10,1.859004,0.719607,0.052335
was,was,3.20318603516,10,2.093248,1.248785,0.616705,10,2.084762,1.305107,0.626863,10,2.08324,1.332666,0.629643,10,2.083107,1.346008,0.633484,10,2.082914,1.353155,0.63602,10,2.08282,1.357657,0.63805
considering,UNK,2.80785489082,5,2.926527,2.378353,1.12957,6,2.849513,2.574588,1.26948,6,2.782482,2.706077,1.37341,6,2.756277,2.765351,1.41934,6,2.744297,2.796531,1.44338,6,2.737068,2.815417,1.45776
in,in,3.03259801865,12,3.307552,1.449108,-0.929245,12,3.32955,1.708164,-0.866424,13,3.34073,2.036593,-0.669484,13,3.3493,2.141782,-0.623569,13,3.350071,2.204961,-0.59157,13,3.35193,2.238801,-0.576616
her,her,2.69096469879,10,1.899344,1.63683,0.187722,11,1.91073,1.898855,0.190691,11,1.910869,2.177669,0.141076,12,1.910735,2.261585,0.119803,12,1.910749,2.324945,0.119984,12,1.90911,2.355215,0.116414
own,own,5.00976848602,14,4.239488,1.29935,-0.33748,14,4.248745,1.537745,-0.36111,15,4.250793,1.829425,-0.348244,15,4.257514,1.90871,-0.352875,15,4.260065,1.971207,-0.353738,15,4.261764,2.012468,-0.342747
mind,mind,9.09339904785,14,7.513716,1.410197,0.110847,14,7.503014,1.680304,0.142559,15,7.495592,1.990871,0.161446,15,7.492315,2.08458,0.17587,15,7.49075,2.154035,0.182828,15,7.488827,2.20522,0.192752
as,as,4.21765899658,14,4.28064,2.194982,0.784785,14,4.237081,2.52562,0.845316,14,4.212583,2.866547,0.875676,14,4.181449,3.003583,0.919003,14,4.16683,3.117376,0.963341,14,4.157508,3.196691,0.991471
well,well,4.27385807037,9,4.163525,0.738221,-1.45676,12,3.845511,1.318063,-1.20756,13,3.847618,1.505369,-1.36118,13,3.738731,1.892318,-1.11126,13,3.684223,2.143837,-0.973539,13,3.656047,2.288847,-0.907844
as,as,1.69429445267,10,2.278391,1.854817,1.1166,12,2.214633,2.305342,0.987279,13,2.18315,2.550024,1.04466,12,2.20629,2.87978,0.987462,12,2.225571,3.097567,0.95373,12,2.238054,3.193143,0.904296
she,she,1.02825784683,9,1.133581,0.899828,-0.954989,10,1.020679,1.658045,-0.647297,10,1.031264,1.872145,-0.677879,10,1.019495,2.22962,-0.65016,10,1.027568,2.405208,-0.692359,10,1.027931,2.50353,-0.689613
could,could,1.53603982925,15,2.127405,1.010263,0.110435,15,2.190309,1.759091,0.101046,15,2.17868,1.988229,0.116084,16,2.187942,2.333966,0.104346,16,2.185007,2.512474,0.107266,16,2.187683,2.605276,0.101746
for,for,4.96039772034,15,6.453761,2.576868,1.56661,15,6.496483,3.102045,1.34295,15,6.388839,3.635736,1.64751,16,6.374868,4.013903,1.67994,16,6.351182,4.243197,1.73072,16,6.330014,4.378794,1.77352
the,the,2.21252059937,8,2.112951,2.582877,0.006009,6,2.061823,3.227173,0.125128,8,2.038149,3.695701,0.059965,7,2.036517,4.052907,0.039004,7,2.04035,4.26555,0.022353,7,2.034321,4.423893,0.045099
hot,hot,8.74854278564,18,9.939271,2.00297,-0.579907,18,9.947391,2.625045,-0.602128,18,9.970721,3.172729,-0.522972,18,9.965427,3.522182,-0.530725,18,9.969737,3.732791,-0.532759,18,9.97,3.899105,-0.524788
day,day,5.45193862915,18,5.074258,2.013372,0.010402,18,5.052677,2.634825,0.00978,18,5.067051,3.158903,-0.013826,18,5.068932,3.507264,-0.014918,18,5.065348,3.726964,-0.005827,18,5.06666,3.889954,-0.009151
made,made,8.55155754089,18,6.54538,1.196689,-0.816683,18,6.564315,1.742534,-0.892291,18,6.531862,2.393251,-0.765652,18,6.555084,2.68293,-0.824334,18,6.561091,2.891535,-0.835429,18,6.574915,3.012028,-0.877926
her,her,3.0767583847,13,2.466644,1.886266,0.689577,13,2.44479,2.422095,0.679561,14,2.459759,3.081334,0.688083,15,2.456296,3.372287,0.689357,15,2.458177,3.569729,0.678194,15,2.452704,3.691322,0.679294
feel,feel,11.4395599365,18,12.924229,1.318455,-0.567811,18,12.871668,1.896899,-0.525196,17,12.796085,2.607779,-0.473555,18,12.73295,3.03279,-0.339497,19,12.65607,3.378181,-0.191548,21,12.623738,3.57055,-0.120772
very,very,5.57703971863,13,4.031509,1.507627,0.189172,13,3.97391,2.155989,0.25909,15,4.009971,2.826933,0.219154,15,4.013171,3.248362,0.215572,16,4.086621,3.438628,0.060447,16,4.093387,3.621945,0.051395
sleepy,sleepy,7.8623380661,19,5.862134,0.946642,-0.560985,19,5.876809,1.568236,-0.587753,19,5.869353,2.209954,-0.616979,19,5.872427,2.648787,-0.599575,19,5.878491,2.83601,-0.602618,19,5.873179,3.044199,-0.577746
and,and,2.35006952286,16,2.832291,1.955538,1.0089,16,2.824801,2.550718,0.982482,16,2.358212,2.925298,0.715344,16,2.08778,3.166983,0.518196,16,2.057595,3.340618,0.504608,17,2.087936,3.494571,0.450372
stupid,stupid,7.47069454193,19,7.62279,1.042531,-0.913007,19,7.604046,1.732382,-0.818336,19,8.093154,2.308404,-0.616894,19,8.33449,2.775392,-0.391591,19,8.284859,3.011988,-0.32863,19,8.295556,3.112009,-0.382562
whether,whether,8.35514831543,19,7.461574,1.609212,0.566681,19,7.48458,2.239394,0.507012,19,7.494675,2.792398,0.483994,19,7.538003,3.169456,0.394064,19,7.583696,3.40077,0.388782,19,7.554139,3.557278,0.445269
the,the,2.72157859802,6,2.599398,2.217561,0.608349,6,2.587116,2.852932,0.613538,6,2.580459,3.397544,0.605146,6,2.57896,3.781368,0.611912,6,2.572199,4.016417,0.615647,6,2.569722,4.177414,0.620136
pleasure,UNK,2.95176839828,4,2.773596,1.996094,-0.221467,4,2.773011,2.665097,-0.187835,4,2.77474,3.205256,-0.192288,4,2.776242,3.572278,-0.20909,4,2.775913,3.815711,-0.200706,4,2.77554,3.987962,-0.189452
of,of,2.24056339264,10,2.692582,1.287699,-0.708395,10,2.675635,1.982388,-0.682709,10,2.67879,2.500759,-0.704497,10,2.686222,2.840506,-0.731772,10,2.672075,3.096928,-0.718783,10,2.669023,3.275186,-0.712776
making,making,6.20330810547,9,8.688964,2.161948,0.874249,9,8.688696,2.856813,0.874425,21,8.669293,3.354049,0.85329,21,8.665069,3.706549,0.866043,21,8.665604,3.97788,0.880952,21,8.665505,4.155603,0.880417
a,a,2.65832734108,8,3.016135,2.537923,0.375975,8,3.016185,3.232759,0.375946,8,3.011841,3.810735,0.456686,8,3.002263,4.158754,0.452205,8,2.999372,4.409842,0.431962,8,2.995357,4.589047,0.433444
daisy,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
chain,UNK,1.56182479858,4,1.573631,2.264934,-0.272989,4,1.573804,2.959876,-0.272883,5,1.574414,3.526676,-0.284059,4,1.573099,3.889768,-0.268986,4,1.572884,4.145482,-0.26436,4,1.575493,4.323188,-0.265859
would,would,6.36091518402,25,5.655917,1.922683,-0.342251,25,5.654765,2.616565,-0.343311,25,5.671599,3.114642,-0.412034,25,5.626421,3.561095,-0.328673,25,5.631068,3.796154,-0.349328,25,5.656042,3.908465,-0.414723
be,be,3.31654524803,21,2.063143,1.765453,-0.15723,21,2.061891,2.458632,-0.157933,21,2.060173,2.969221,-0.145421,21,2.054965,3.416637,-0.144458,21,2.050632,3.651459,-0.144695,21,2.05353,3.761761,-0.146704
worth,worth,7.56664991379,22,9.357807,0.157155,-1.6083,22,9.348824,0.846573,-1.61206,22,8.335146,2.155723,-0.813498,22,8.564209,2.191208,-1.22543,22,8.681136,2.221262,-1.4302,22,8.559693,2.493461,-1.2683
the,the,3.95341205597,10,5.082573,1.83933,1.68217,11,5.092002,2.566301,1.71973,11,5.168585,3.735802,1.58008,11,5.120156,3.858885,1.66768,11,5.090734,3.940181,1.71892,11,5.095034,4.199623,1.70616
trouble,trouble,10.3231143951,23,9.823245,1.082263,-0.757067,24,9.814932,1.766199,-0.800102,24,9.783682,2.885079,-0.850723,24,9.798606,3.052953,-0.805932,24,9.812765,3.142588,-0.797593,24,9.80906,3.406039,-0.793584
of,of,3.15927147865,23,2.24973,0.812171,-0.270092,24,2.2521,1.49909,-0.267109,24,2.254785,2.620389,-0.26469,24,2.249175,2.809042,-0.243911,24,2.25305,2.878212,-0.264376,24,2.252346,3.138573,-0.267466
getting,getting,5.69869613647,24,7.174302,1.232681,0.42051,25,7.175596,1.948676,0.449586,25,7.186119,3.102639,0.48225,25,7.178695,3.243295,0.434253,25,7.173786,3.321285,0.443073,25,7.172104,3.58284,0.444267
up,up,5.08550882339,25,2.381124,1.092659,-0.140022,27,2.387538,1.778075,-0.170601,26,2.394939,2.850413,-0.252226,26,2.402285,3.012796,-0.230499,26,2.387202,3.162459,-0.158826,26,2.389719,3.410492,-0.172348
and,and,0.537531375885,17,2.973018,1.608761,0.516102,18,3.009913,2.206917,0.428842,17,3.182987,3.059499,0.209086,18,3.151211,3.28767,0.274874,18,3.009794,3.585839,0.42338,18,3.035696,3.785369,0.374877
picking,UNK,2.20590496063,5,1.845413,1.187791,-0.42097,5,1.823903,1.787909,-0.419008,5,1.770814,2.624115,-0.435384,5,1.829088,2.763068,-0.524602,5,1.824355,3.174534,-0.411305,5,1.824868,3.360689,-0.42468
the,the,3.23887753487,10,2.785744,1.915799,0.728008,10,2.805789,2.498834,0.710925,10,2.803936,3.431986,0.807871,10,2.801454,3.487347,0.724279,10,2.805909,3.885496,0.710962,10,2.808667,4.067841,0.707152
daisies,UNK,2.14424180984,4,2.474455,1.690765,-0.225034,5,2.476889,2.283448,-0.215386,4,2.47682,3.193084,-0.238902,4,2.475384,3.296238,-0.191109,4,2.476719,3.667743,-0.217753,4,2.476817,3.856799,-0.211042
when,when,5.23690986633,28,5.786171,2.410507,0.719742,26,5.788074,3.001692,0.718244,27,5.823367,3.90187,0.708786,24,5.771512,4.017526,0.721288,26,5.786839,4.388194,0.720451,27,5.785919,4.554926,0.698127
suddenly,suddenly,7.64136600494,10,10.244256,0.241326,-2.16918,10,10.196853,0.934308,-2.06738,10,10.56739,1.627339,-2.27453,10,10.051327,2.26391,-1.75362,10,10.199912,2.315506,-2.07269,10,10.212067,2.516474,-2.03845
a,a,3.13545870781,8,4.139785,0.891791,0.650465,8,4.140304,1.585238,0.65093,8,4.140303,2.278162,0.650823,8,4.138212,2.92766,0.66375,8,4.140255,2.968043,0.652537,8,4.140239,3.168722,0.652248
white,white,5.27122211456,31,5.157873,0.914651,0.02286,32,5.158027,1.608227,0.022989,32,5.158026,2.301255,0.023093,31,5.160338,2.945546,0.017886,32,5.158035,2.990255,0.022212,32,5.157982,3.191724,0.023002
rabbit,rabbit,1.38981389999,10,1.312709,0.661191,-0.25346,10,1.313541,1.354591,-0.253636,10,1.313537,2.047618,-0.253637,10,1.316148,2.655122,-0.290424,10,1.313454,2.73576,-0.254495,10,1.31393,2.931297,-0.260427
with,with,5.01226615906,31,6.367007,0.795236,0.134045,32,6.365559,1.488069,0.133478,32,6.365564,2.182774,0.135156,10,6.385428,2.730942,0.07582,32,6.365654,2.868951,0.133191,32,6.367071,3.054795,0.123498
pink,UNK,2.1604385376,5,2.907054,1.686206,0.89097,5,2.907039,2.379413,0.891344,5,2.907039,3.072382,0.889608,5,2.905354,3.613894,0.882952,5,2.906431,3.760229,0.891278,5,2.90368,3.951521,0.896726
eyes,eyes,7.4440331459,34,5.996713,1.006754,-0.679452,35,5.995786,1.699714,-0.679699,35,5.99579,2.392748,-0.679634,35,5.996013,2.938729,-0.675165,35,5.993194,3.095696,-0.664533,35,5.99324,3.299201,-0.65232
ran,ran,8.35160732269,33,4.010881,0.694855,-0.311899,34,4.009709,1.387898,-0.311816,34,4.009713,2.08091,-0.311838,34,4.003242,2.645004,-0.293725,34,4.00812,2.796067,-0.299629,34,4.009021,2.998205,-0.300996
close,close,5.55824756622,31,8.015016,1.28927,0.594415,32,8.014475,1.983948,0.59605,32,8.015314,2.671852,0.590942,32,7.998342,3.318509,0.673505,32,8.019306,3.365459,0.569392,32,8.01954,3.566837,0.568632
by,by,4.9588675499,32,4.070355,1.748184,0.458914,33,4.070389,2.440377,0.456429,33,4.069543,3.133589,0.461737,33,4.066232,3.798547,0.480038,33,4.070439,3.821312,0.455853,33,4.070511,4.01925,0.452413
her,her,2.36944532394,28,2.250094,2.180523,0.432339,29,2.249528,2.871683,0.431306,29,2.24954,3.564716,0.431127,29,2.311723,4.22435,0.425803,29,2.249153,4.253459,0.432147,29,2.247902,4.454059,0.434809
there,there,3.94352531433,9,4.368422,1.10131,-1.07921,9,4.359802,1.132933,-1.73875,9,4.355012,1.161063,-2.40365,9,4.353511,1.16911,-3.05524,9,4.352854,1.174083,-3.07938,9,4.352502,1.176912,-3.27715
was,was,1.41775941849,10,1.884431,1.186468,0.085158,10,1.889303,1.205656,0.072723,10,1.891111,1.228328,0.067265,11,1.891707,1.235706,0.066596,11,1.891991,1.238258,0.064175,11,1.892141,1.240123,0.063211
nothing,nothing,4.69853973389,11,5.118687,1.806236,0.619768,11,5.094663,1.883567,0.677911,11,5.071447,2.007287,0.778959,11,5.06669,2.037897,0.802191,11,5.063983,2.060399,0.822141,11,5.062354,2.073265,0.833142
so,so,3.60028100014,12,5.622761,2.181283,0.375047,12,5.518762,2.498927,0.61536,12,5.403908,3.021105,1.01382,12,5.35372,3.223236,1.18534,12,5.326378,3.358788,1.29839,12,5.311301,3.436873,1.36361
very,very,4.63050079346,12,4.047121,1.560169,-0.621114,12,4.143408,1.706037,-0.79289,13,4.17243,2.093158,-0.927947,13,4.172183,2.333249,-0.889987,13,4.164899,2.532788,-0.826,13,4.174218,2.578776,-0.858097
